ENSG00000187608 ISG15
ENSG00000186891 TNFRSF18
ENSG00000127054 CPSF3L
ENSG00000158109 TPRG1L
ENSG00000116251 RPL22
ENSG00000074800 ENO1
ENSG00000162444 RBP7
ENSG00000175279 APITD1
ENSG00000116649 SRM
ENSG00000177674 AGTRAP
ENSG00000116688 MFN2
ENSG00000142634 EFHD2
ENSG00000272426 RP11-108M9.6
ENSG00000159363 ATP13A2
ENSG00000074964 ARHGEF10L
ENSG00000162542 TMCO4
ENSG00000162545 CAMK2N1
ENSG00000158825 CDA
ENSG00000117318 ID3
ENSG00000142676 RPL11
ENSG00000179163 FUCA1
ENSG00000117632 STMN1
ENSG00000142669 SH3BGRL3
ENSG00000169442 CD52
ENSG00000158195 WASF2
ENSG00000009780 FAM76A
ENSG00000130770 ATPIF1
ENSG00000159023 EPB41
ENSG00000084623 EIF3I
ENSG00000134684 YARS
ENSG00000119535 CSF3R
ENSG00000182109 RP11-69E11.4
ENSG00000043514 TRIT1
ENSG00000131238 PPT1
ENSG00000117016 RIMS3
ENSG00000171793 CTPS1
ENSG00000065978 YBX1
ENSG00000177868 CCDC23
ENSG00000126091 ST3GAL3
ENSG00000117410 ATP6V0B
ENSG00000187147 RNF220
ENSG00000142937 RPS8
ENSG00000116157 GPX7
ENSG00000116171 SCP2
ENSG00000116209 TMEM59
ENSG00000157216 SSBP3
ENSG00000006555 TTC22
ENSG00000177606 JUN
ENSG00000116641 DOCK7
ENSG00000234184 RP5-887A10.1
ENSG00000142867 BCL10
ENSG00000069702 TGFBR3
ENSG00000122406 RPL5
ENSG00000116266 STXBP3
ENSG00000177272 KCNA3
ENSG00000155366 RHOC
ENSG00000273406 RP11-114O18.1
ENSG00000117289 TXNIP
ENSG00000118292 C1orf54
ENSG00000163131 CTSS
ENSG00000163159 VPS72
ENSG00000159377 PSMB4
ENSG00000197747 S100A10
ENSG00000163191 S100A11
ENSG00000163220 S100A9
ENSG00000143546 S100A8
ENSG00000197956 S100A6
ENSG00000196154 S100A4
ENSG00000177954 RPS27
ENSG00000163348 PYGO2
ENSG00000160688 FLAD1
ENSG00000116580 GON4L
ENSG00000163479 SSR2
ENSG00000143319 ISG20L2
ENSG00000158473 CD1D
ENSG00000158481 CD1C
ENSG00000158488 CD1E
ENSG00000179639 FCER1A
ENSG00000158714 SLAMF8
ENSG00000158710 TAGLN2
ENSG00000122224 LY9
ENSG00000158773 USF1
ENSG00000162755 KLHDC9
ENSG00000158869 FCER1G
ENSG00000173110 HSPA6
ENSG00000203747 FCGR3A
ENSG00000162746 FCRLB
ENSG00000143183 TMCO1
ENSG00000198821 CD247
ENSG00000197965 MPZL1
ENSG00000143185 XCL2
ENSG00000143184 XCL1
ENSG00000188404 SELL
ENSG00000116698 SMG7
ENSG00000116667 C1orf21
ENSG00000116741 RGS2
ENSG00000159388 BTG2
ENSG00000076356 PLXNA2
ENSG00000123689 G0S2
ENSG00000143498 TAF1A
ENSG00000225265 RP11-378J18.3
ENSG00000162923 WDR26
ENSG00000135801 TAF5L
ENSG00000010072 SPRTN
ENSG00000162946 DISC1
ENSG00000229255 RP11-407H12.8
ENSG00000115705 TPO
ENSG00000182551 ADI1
ENSG00000171863 RPS7
ENSG00000115738 ID2
ENSG00000243819 RN7SL832P
ENSG00000143870 PDIA6
ENSG00000163029 SMC6
ENSG00000228784 LINC00954
ENSG00000118960 HS1BP3
ENSG00000084676 NCOA1
ENSG00000157992 KRTCAP3
ENSG00000115295 CLIP4
ENSG00000115828 QPCT
ENSG00000143889 HNRNPLL
ENSG00000115875 SRSF7
ENSG00000162882 HAAO
ENSG00000250565 ATP6V1E2
ENSG00000115310 RTN4
ENSG00000143947 RPS27A
ENSG00000085760 MTIF2
ENSG00000179833 SERTAD2
ENSG00000115956 PLEK
ENSG00000163219 ARHGAP25
ENSG00000144043 TEX261
ENSG00000124374 PAIP2B
ENSG00000159399 HK2
ENSG00000163541 SUCLG1
ENSG00000034510 TMSB10
ENSG00000118640 VAMP8
ENSG00000115523 GNLY
ENSG00000153563 CD8A
ENSG00000172116 CD8B
ENSG00000222041 LINC00152
ENSG00000158050 DUSP2
ENSG00000144021 CIAO1
ENSG00000196872 KIAA1211L
ENSG00000144218 AFF3
ENSG00000071082 RPL31
ENSG00000115590 IL1R2
ENSG00000170417 TMEM182
ENSG00000115091 ACTR3
ENSG00000019169 MARCO
ENSG00000155368 DBI
ENSG00000136732 GYPC
ENSG00000163166 IWS1
ENSG00000072163 LIMS2
ENSG00000048991 R3HDM1
ENSG00000076003 MCM6
ENSG00000121966 CXCR4
ENSG00000150540 HNMT
ENSG00000115271 GCA
ENSG00000144381 HSPD1
ENSG00000163535 SGOL2
ENSG00000023228 NDUFS1
ENSG00000114942 EEF1B2
ENSG00000197756 RPL37A
ENSG00000163464 CXCR1
ENSG00000163466 ARPC2
ENSG00000127838 PNKD
ENSG00000144567 FAM134A
ENSG00000127824 TUBA4A
ENSG00000144591 GMPPA
ENSG00000135916 ITM2C
ENSG00000187514 PTMA
ENSG00000115685 PPP1R7
ENSG00000134072 CAMK1
ENSG00000157014 TATDN2
ENSG00000144713 RPL32
ENSG00000170876 TMEM43
ENSG00000174748 RPL15
ENSG00000172936 MYD88
ENSG00000168329 CX3CR1
ENSG00000168028 RPSA
ENSG00000188846 RPL14
ENSG00000196653 ZNF502
ENSG00000221883 ARIH2OS
ENSG00000233276 GPX1
ENSG00000145020 AMT
ENSG00000114395 CYB561D2
ENSG00000090097 PCBP4
ENSG00000162244 RPL29
ENSG00000023330 ALAS1
ENSG00000016864 GLT8D1
ENSG00000163687 DNASE1L3
ENSG00000241163 LINC00877
ENSG00000114391 RPL24
ENSG00000182504 CEP97
ENSG00000121578 B4GALT4
ENSG00000145088 EAF2
ENSG00000121552 CSTA
ENSG00000163840 DTX3L
ENSG00000065485 PDIA5
ENSG00000206527 PTPLB
ENSG00000177646 ACAD9
ENSG00000184897 H1FX
ENSG00000129071 MBD4
ENSG00000004399 PLXND1
ENSG00000198585 NUDT16
ENSG00000158186 MRAS
ENSG00000181804 SLC9A9
ENSG00000152601 MBNL1
ENSG00000114850 SSR3
ENSG00000075420 FNDC3B
ENSG00000177383 MAGEF1
ENSG00000073792 IGF2BP2
ENSG00000233308 OSTN-AS1
ENSG00000114315 HES1
ENSG00000176945 MUC20
ENSG00000061938 TNK2
ENSG00000163960 UBXN7
ENSG00000174004 NRROS
ENSG00000186001 LRCH3
ENSG00000182899 RPL35A
ENSG00000197701 ZNF595
ENSG00000159674 SPON2
ENSG00000125388 GRK4
ENSG00000145220 LYAR
ENSG00000168824 NSG1
ENSG00000137449 CPEB2
